ad_id,product,channel,audience,date,impressions,clicks,conversions,spend,headline_len,sentiment,ctr,cvr
ad_63,Online MBA Course,google_search,Professionals 30-45,2025-10-26,874,22,0,10.65,27,-0.17,0.02517162471395881,0.0
ad_64,NoiseCancel Headphones,google_search,Professionals 30-45,2025-08-20,1513,54,1,21.45,26,-0.324,0.0356906807666887,0.018518518518518517
ad_65,NoiseCancel Headphones,instagram,Men 25-40,2025-10-16,188,3,0,2.56,32,0.302,0.015957446808510637,0.0
ad_66,Online MBA Course,instagram,Men 25-40,2025-08-21,306,5,0,3.31,40,0.099,0.016339869281045753,0.0
ad_67,Smartwatch Pro,facebook,Students 18-25,2025-09-22,924,12,0,11.47,35,-0.284,0.012987012987012988,0.0
ad_68,Eco Bottle,youtube,Students 18-25,2025-10-25,176,2,0,2.16,52,0.267,0.011363636363636364,0.0
ad_69,Smartwatch Pro,google_search,Men 25-40,2025-10-01,3432,81,6,49.3,47,-0.434,0.0236013986013986,0.07407407407407407
ad_70,Online MBA Course,facebook,Students 18-25,2025-08-26,1891,24,6,24.17,34,0.286,0.01269169751454257,0.25
ad_71,Eco Bottle,google_search,Men 25-40,2025-08-27,1195,40,0,15.3,18,0.135,0.03347280334728033,0.0
ad_72,Online MBA Course,instagram,Students 18-25,2025-10-08,755,8,1,9.87,35,0.202,0.010596026490066225,0.125
ad_73,Eco Bottle,google_search,Students 18-25,2025-10-03,4639,141,8,64.21,22,0.413,0.03039448156930373,0.05673758865248227
ad_74,Organic Face Cream,google_search,Students 18-25,2025-08-22,1337,40,0,14.1,39,-0.009,0.029917726252804786,0.0
ad_75,Organic Face Cream,youtube,Professionals 30-45,2025-11-02,3133,50,0,34.1,46,0.291,0.015959144589849983,0.0
ad_76,Eco Bottle,facebook,Women 25-40,2025-11-11,1749,24,0,22.68,14,0.586,0.0137221269296741,0.0
ad_77,Online MBA Course,instagram,Students 18-25,2025-09-19,308,6,0,3.47,37,0.29,0.01948051948051948,0.0
ad_78,Smartwatch Pro,facebook,Professionals 30-45,2025-08-16,760,6,0,8.92,46,0.04,0.007894736842105263,0.0
ad_79,Eco Bottle,youtube,Students 18-25,2025-08-29,310,1,0,3.26,15,-0.161,0.0032258064516129032,0.0
ad_80,Smartwatch Pro,instagram,Professionals 30-45,2025-11-07,2134,27,1,21.41,54,-0.185,0.012652296157450796,0.037037037037037035
ad_81,Online MBA Course,instagram,Students 18-25,2025-10-28,123,3,0,1.62,43,-0.018,0.024390243902439025,0.0
ad_82,Online MBA Course,facebook,Men 25-40,2025-09-07,190,3,0,2.73,45,0.573,0.015789473684210527,0.0
ad_83,Online MBA Course,youtube,Professionals 30-45,2025-09-23,1419,11,0,20.25,16,0.39,0.007751937984496124,0.0
ad_84,Online MBA Course,facebook,Students 18-25,2025-10-13,85,2,0,1.17,23,-0.267,0.023529411764705882,0.0
ad_85,Smartwatch Pro,youtube,Women 25-40,2025-10-20,1254,15,2,17.31,27,-0.07,0.011961722488038277,0.13333333333333333
ad_86,Smartwatch Pro,facebook,Professionals 30-45,2025-10-01,33,0,0,0.37,12,0.237,0.0,0.0
ad_87,NoiseCancel Headphones,google_search,Men 25-40,2025-11-12,1597,52,2,21.75,20,0.282,0.03256105197244834,0.038461538461538464
ad_88,Smartwatch Pro,youtube,Women 25-40,2025-10-28,108,1,0,1.13,55,0.323,0.009259259259259259,0.0
ad_89,Online MBA Course,instagram,Women 25-40,2025-08-29,81,2,0,1.05,31,0.108,0.024691358024691357,0.0
ad_90,Organic Face Cream,google_search,Students 18-25,2025-10-13,355,13,0,4.69,21,0.14,0.036619718309859155,0.0
ad_91,Organic Face Cream,youtube,Men 25-40,2025-10-31,85,1,0,1.09,21,0.385,0.011764705882352941,0.0
ad_92,Eco Bottle,google_search,Men 25-40,2025-10-08,5608,179,10,67.74,50,-0.072,0.03191868758915835,0.055865921787709494
ad_93,NoiseCancel Headphones,facebook,Professionals 30-45,2025-10-25,702,9,0,7.99,59,-0.026,0.01282051282051282,0.0
ad_94,Smartwatch Pro,instagram,Men 25-40,2025-11-02,484,4,0,6.95,27,0.088,0.008264462809917356,0.0
ad_95,Organic Face Cream,youtube,Men 25-40,2025-09-05,1055,8,0,11.45,34,0.013,0.007582938388625593,0.0
ad_96,Eco Bottle,facebook,Men 25-40,2025-08-30,1765,31,0,22.36,10,0.243,0.017563739376770537,0.0
ad_97,Organic Face Cream,facebook,Professionals 30-45,2025-10-01,591,4,0,6.27,56,-0.354,0.00676818950930626,0.0
ad_98,Online MBA Course,facebook,Students 18-25,2025-09-06,109,1,0,1.28,23,-0.106,0.009174311926605505,0.0
ad_99,NoiseCancel Headphones,google_search,Professionals 30-45,2025-09-30,154,10,0,2.07,59,0.22,0.06493506493506493,0.0
ad_100,Eco Bottle,google_search,Men 25-40,2025-10-15,687,25,1,8.85,26,0.674,0.036390101892285295,0.04
ad_101,NoiseCancel Headphones,instagram,Men 25-40,2025-09-11,49,0,0,0.6,18,0.142,0.0,0.0
ad_102,Eco Bottle,instagram,Women 25-40,2025-10-22,571,6,0,7.28,20,0.308,0.010507880910683012,0.0
ad_103,Organic Face Cream,facebook,Professionals 30-45,2025-10-10,257,3,0,3.74,35,0.576,0.011673151750972763,0.0
ad_104,Online MBA Course,instagram,Women 25-40,2025-11-02,161,3,0,1.77,57,0.11,0.018633540372670808,0.0
ad_105,Online MBA Course,youtube,Students 18-25,2025-10-20,1063,6,0,13.46,24,0.356,0.005644402634054563,0.0
ad_106,Eco Bottle,youtube,Men 25-40,2025-10-27,510,2,0,6.55,22,0.804,0.00392156862745098,0.0
ad_107,Eco Bottle,youtube,Professionals 30-45,2025-08-22,660,3,0,7.18,16,-0.3,0.004545454545454545,0.0
ad_108,Organic Face Cream,facebook,Men 25-40,2025-09-03,1469,19,0,18.01,58,0.224,0.012933968686181076,0.0
ad_109,Eco Bottle,facebook,Students 18-25,2025-09-26,1335,17,0,17.57,43,-0.148,0.012734082397003745,0.0
ad_110,Organic Face Cream,instagram,Women 25-40,2025-11-12,320,2,0,3.34,16,-0.093,0.00625,0.0
ad_111,Organic Face Cream,youtube,Students 18-25,2025-09-02,390,2,0,5.17,15,0.589,0.005128205128205128,0.0
ad_112,NoiseCancel Headphones,facebook,Men 25-40,2025-11-11,211,2,0,2.32,11,0.31,0.009478672985781991,0.0
ad_113,Eco Bottle,instagram,Men 25-40,2025-09-20,1411,6,0,15.92,26,0.123,0.004252303330970942,0.0
ad_114,Organic Face Cream,facebook,Professionals 30-45,2025-08-30,1523,15,0,22.41,43,0.337,0.00984898227183191,0.0
ad_115,Eco Bottle,google_search,Men 25-40,2025-10-10,1543,44,0,18.54,24,-0.383,0.028515878159429683,0.0
ad_116,Eco Bottle,google_search,Men 25-40,2025-10-10,424,14,1,6.0,29,0.28,0.0330188679245283,0.07142857142857142
ad_117,NoiseCancel Headphones,google_search,Students 18-25,2025-10-04,1744,46,1,21.85,22,-0.379,0.026376146788990827,0.021739130434782608
ad_118,Eco Bottle,facebook,Professionals 30-45,2025-09-12,1023,10,0,14.09,38,0.116,0.009775171065493646,0.0
ad_119,Organic Face Cream,google_search,Students 18-25,2025-11-05,153,2,0,1.7,18,0.183,0.013071895424836602,0.0
ad_120,Online MBA Course,youtube,Professionals 30-45,2025-10-07,555,4,0,5.58,46,0.504,0.007207207207207207,0.0
ad_121,Eco Bottle,instagram,Students 18-25,2025-10-24,19,0,0,0.21,24,0.005,0.0,0.0
ad_122,Online MBA Course,facebook,Professionals 30-45,2025-10-09,464,6,1,5.74,58,-0.048,0.01293103448275862,0.16666666666666666
ad_123,Organic Face Cream,facebook,Professionals 30-45,2025-10-16,615,11,0,8.55,30,0.088,0.01788617886178862,0.0
ad_124,NoiseCancel Headphones,google_search,Students 18-25,2025-10-11,488,10,1,4.98,31,-0.014,0.020491803278688523,0.1
ad_125,Organic Face Cream,google_search,Students 18-25,2025-11-13,74,2,0,1.05,33,-0.103,0.02702702702702703,0.0
ad_126,Eco Bottle,instagram,Students 18-25,2025-08-25,350,2,0,3.57,49,0.458,0.005714285714285714,0.0
ad_127,Eco Bottle,instagram,Women 25-40,2025-10-09,346,8,0,4.5,49,0.267,0.023121387283236993,0.0
ad_128,Organic Face Cream,facebook,Professionals 30-45,2025-09-16,798,12,0,9.24,34,0.209,0.015037593984962405,0.0
ad_129,Organic Face Cream,youtube,Women 25-40,2025-09-28,290,1,0,3.96,22,0.099,0.0034482758620689655,0.0
ad_130,Eco Bottle,facebook,Women 25-40,2025-08-27,96,2,0,1.23,59,-0.14,0.020833333333333332,0.0
ad_131,Online MBA Course,instagram,Students 18-25,2025-10-20,1431,27,1,19.01,56,0.423,0.018867924528301886,0.037037037037037035
ad_132,Organic Face Cream,instagram,Women 25-40,2025-09-29,957,11,0,13.16,36,0.283,0.011494252873563218,0.0
ad_133,Online MBA Course,facebook,Professionals 30-45,2025-08-31,1411,30,1,16.87,40,0.171,0.021261516654854713,0.03333333333333333
ad_134,Online MBA Course,instagram,Professionals 30-45,2025-10-24,29,0,0,0.37,55,-0.02,0.0,0.0
ad_135,NoiseCancel Headphones,youtube,Professionals 30-45,2025-10-21,1128,7,2,12.46,27,0.011,0.0062056737588652485,0.2857142857142857
ad_136,NoiseCancel Headphones,youtube,Students 18-25,2025-09-27,467,1,0,6.17,39,-0.145,0.0021413276231263384,0.0
ad_137,Organic Face Cream,instagram,Professionals 30-45,2025-10-25,1540,31,2,19.91,36,0.289,0.02012987012987013,0.06451612903225806
ad_138,Online MBA Course,instagram,Women 25-40,2025-09-24,2824,42,2,28.94,51,0.115,0.014872521246458924,0.047619047619047616
ad_139,Eco Bottle,google_search,Women 25-40,2025-10-21,1307,48,0,15.87,15,0.069,0.036725325172149964,0.0
ad_140,Organic Face Cream,facebook,Men 25-40,2025-10-01,170,1,0,2.06,45,-0.108,0.0058823529411764705,0.0
ad_141,Organic Face Cream,facebook,Men 25-40,2025-10-24,296,1,0,3.77,12,0.255,0.0033783783783783786,0.0
ad_142,Online MBA Course,facebook,Men 25-40,2025-10-17,1283,19,2,14.22,50,0.589,0.014809041309431021,0.10526315789473684
ad_143,Eco Bottle,instagram,Professionals 30-45,2025-09-24,1052,11,0,14.51,31,0.445,0.010456273764258554,0.0
ad_144,NoiseCancel Headphones,instagram,Students 18-25,2025-08-21,1077,18,0,15.07,37,0.089,0.016713091922005572,0.0
ad_145,NoiseCancel Headphones,google_search,Women 25-40,2025-09-25,98,4,1,1.24,14,-0.109,0.04081632653061224,0.25
ad_146,Eco Bottle,youtube,Professionals 30-45,2025-09-05,1576,10,0,21.53,16,0.261,0.006345177664974619,0.0
ad_147,Smartwatch Pro,facebook,Professionals 30-45,2025-09-05,3434,32,2,35.7,28,0.155,0.009318578916715201,0.0625
ad_148,Online MBA Course,google_search,Women 25-40,2025-11-05,1709,56,0,23.23,59,0.877,0.032767700409596257,0.0
ad_149,Smartwatch Pro,youtube,Men 25-40,2025-10-04,1345,14,1,14.3,27,0.148,0.010408921933085501,0.07142857142857142
ad_150,Eco Bottle,instagram,Students 18-25,2025-10-05,3,0,0,0.04,56,0.468,0.0,0.0
ad_151,Online MBA Course,google_search,Women 25-40,2025-09-22,1058,35,0,11.47,23,-0.304,0.0330812854442344,0.0
ad_152,Eco Bottle,youtube,Men 25-40,2025-10-07,257,3,1,2.73,17,0.324,0.011673151750972763,0.3333333333333333
ad_153,Organic Face Cream,google_search,Men 25-40,2025-09-24,1748,52,0,17.59,28,0.009,0.029748283752860413,0.0
ad_154,NoiseCancel Headphones,facebook,Men 25-40,2025-08-31,77,0,0,1.11,50,0.651,0.0,0.0
ad_155,Online MBA Course,instagram,Women 25-40,2025-09-27,35,1,0,0.44,44,0.37,0.02857142857142857,0.0
ad_156,Organic Face Cream,youtube,Students 18-25,2025-08-25,66,0,0,0.95,41,-0.115,0.0,0.0
ad_157,Online MBA Course,instagram,Professionals 30-45,2025-10-24,997,15,0,11.32,29,-0.006,0.015045135406218655,0.0
ad_158,Smartwatch Pro,google_search,Women 25-40,2025-11-13,313,9,0,3.57,47,-0.102,0.02875399361022364,0.0
ad_159,Organic Face Cream,facebook,Women 25-40,2025-09-26,7,0,0,0.07,17,-0.52,0.0,0.0
ad_160,Organic Face Cream,facebook,Professionals 30-45,2025-10-24,423,5,0,5.77,48,0.046,0.01182033096926714,0.0
ad_161,Online MBA Course,facebook,Women 25-40,2025-11-02,1122,9,0,13.78,42,0.074,0.008021390374331552,0.0
ad_162,Eco Bottle,facebook,Students 18-25,2025-10-17,797,13,0,11.61,58,0.369,0.01631116687578419,0.0
ad_163,Organic Face Cream,google_search,Professionals 30-45,2025-11-11,1287,28,1,15.44,36,-0.42,0.021756021756021756,0.03571428571428571
ad_164,Online MBA Course,facebook,Men 25-40,2025-09-26,243,5,0,3.39,34,0.67,0.0205761316872428,0.0
ad_165,NoiseCancel Headphones,youtube,Men 25-40,2025-10-13,1728,14,0,18.71,37,-0.124,0.008101851851851851,0.0
ad_166,NoiseCancel Headphones,facebook,Professionals 30-45,2025-09-10,424,4,0,6.04,29,-0.004,0.009433962264150943,0.0
ad_167,Eco Bottle,youtube,Professionals 30-45,2025-09-19,4425,21,0,55.04,10,-0.049,0.0047457627118644066,0.0
ad_168,Eco Bottle,facebook,Men 25-40,2025-10-08,3121,29,0,46.36,46,-0.335,0.009291893623838513,0.0
ad_169,NoiseCancel Headphones,facebook,Women 25-40,2025-09-26,759,10,0,8.62,54,-0.133,0.013175230566534914,0.0
ad_170,NoiseCancel Headphones,google_search,Students 18-25,2025-09-07,426,10,1,5.24,37,-0.086,0.023474178403755867,0.1
ad_171,Online MBA Course,youtube,Professionals 30-45,2025-11-09,645,8,1,6.56,45,0.418,0.012403100775193798,0.125
ad_172,Organic Face Cream,google_search,Students 18-25,2025-10-19,3962,129,20,46.8,53,0.123,0.03255931347804139,0.15503875968992248
ad_173,Organic Face Cream,google_search,Women 25-40,2025-08-28,608,21,1,8.65,37,0.681,0.03453947368421053,0.047619047619047616
ad_174,Smartwatch Pro,google_search,Men 25-40,2025-09-08,594,25,2,8.37,22,0.055,0.04208754208754209,0.08
ad_175,Organic Face Cream,youtube,Students 18-25,2025-09-19,752,7,0,10.35,39,0.424,0.009308510638297872,0.0
ad_176,Online MBA Course,youtube,Professionals 30-45,2025-09-02,1452,12,0,18.51,45,0.255,0.008264462809917356,0.0
ad_177,NoiseCancel Headphones,facebook,Women 25-40,2025-10-11,6,0,0,0.06,28,-0.238,0.0,0.0
ad_178,Online MBA Course,youtube,Students 18-25,2025-10-14,264,1,0,2.93,48,0.381,0.003787878787878788,0.0
ad_179,Online MBA Course,facebook,Students 18-25,2025-09-22,538,3,0,7.59,34,-0.003,0.0055762081784386614,0.0
ad_180,NoiseCancel Headphones,facebook,Students 18-25,2025-08-19,1275,4,0,13.15,21,-0.047,0.003137254901960784,0.0
ad_181,Eco Bottle,youtube,Women 25-40,2025-11-08,283,4,0,2.99,38,0.105,0.014134275618374558,0.0
ad_182,Eco Bottle,facebook,Women 25-40,2025-09-15,1001,11,1,11.36,19,-0.257,0.01098901098901099,0.09090909090909091
ad_183,NoiseCancel Headphones,google_search,Students 18-25,2025-11-02,7535,238,3,104.27,26,-0.018,0.03158593231585932,0.012605042016806723
ad_184,Eco Bottle,facebook,Women 25-40,2025-10-14,1271,13,0,16.85,18,-0.266,0.010228166797797011,0.0
ad_185,Eco Bottle,google_search,Professionals 30-45,2025-09-05,1035,32,3,10.87,30,0.581,0.030917874396135265,0.09375
ad_186,Eco Bottle,instagram,Women 25-40,2025-10-08,2419,23,1,30.47,11,0.255,0.009508061182306739,0.043478260869565216
ad_187,Organic Face Cream,youtube,Students 18-25,2025-10-17,310,1,0,3.13,26,0.105,0.0032258064516129032,0.0
ad_188,Online MBA Course,facebook,Women 25-40,2025-09-20,729,10,0,8.74,21,0.278,0.013717421124828532,0.0
ad_189,NoiseCancel Headphones,youtube,Students 18-25,2025-10-16,259,0,0,3.28,43,0.173,0.0,0.0
ad_190,NoiseCancel Headphones,instagram,Students 18-25,2025-10-30,823,6,0,11.57,31,0.108,0.007290400972053463,0.0
ad_191,NoiseCancel Headphones,google_search,Students 18-25,2025-10-17,1029,33,0,13.54,10,0.267,0.03206997084548105,0.0
ad_192,Smartwatch Pro,youtube,Men 25-40,2025-10-12,3168,32,2,34.54,36,0.146,0.010101010101010102,0.0625
ad_193,Smartwatch Pro,instagram,Men 25-40,2025-11-06,234,8,0,2.92,52,0.155,0.03418803418803419,0.0
ad_194,Smartwatch Pro,instagram,Men 25-40,2025-08-30,300,4,0,3.35,34,-0.23,0.013333333333333334,0.0
ad_195,Smartwatch Pro,google_search,Women 25-40,2025-09-16,3223,106,14,43.98,59,0.005,0.03288861309339125,0.1320754716981132
ad_196,Smartwatch Pro,instagram,Women 25-40,2025-10-18,29,0,0,0.38,12,0.281,0.0,0.0
ad_197,Online MBA Course,youtube,Women 25-40,2025-08-22,852,2,0,8.67,27,-0.102,0.002347417840375587,0.0
ad_198,Organic Face Cream,instagram,Men 25-40,2025-10-04,3004,26,4,36.06,14,-0.186,0.008655126498002663,0.15384615384615385
ad_199,NoiseCancel Headphones,google_search,Men 25-40,2025-08-22,688,18,2,8.02,54,-0.233,0.02616279069767442,0.1111111111111111
ad_200,Eco Bottle,facebook,Professionals 30-45,2025-10-21,1063,0,0,13.46,12,0.16,0.0,0.0
ad_201,Online MBA Course,facebook,Professionals 30-45,2025-09-21,449,0,0,5.93,19,0.3,0.0,0.0
ad_202,Organic Face Cream,facebook,Women 25-40,2025-08-19,940,15,1,12.94,39,-0.19,0.015957446808510637,0.06666666666666667
ad_203,Online MBA Course,instagram,Women 25-40,2025-09-03,1081,12,0,11.51,40,0.025,0.011100832562442183,0.0
ad_204,Online MBA Course,instagram,Women 25-40,2025-09-10,1232,13,0,13.2,45,0.012,0.010551948051948052,0.0
ad_205,NoiseCancel Headphones,youtube,Women 25-40,2025-11-11,126,4,1,1.5,58,0.383,0.031746031746031744,0.25
ad_206,Smartwatch Pro,google_search,Professionals 30-45,2025-10-10,11,0,0,0.11,42,-0.016,0.0,0.0
ad_207,Organic Face Cream,facebook,Students 18-25,2025-08-26,1985,23,0,22.96,22,0.496,0.011586901763224182,0.0
ad_208,Smartwatch Pro,instagram,Professionals 30-45,2025-08-23,988,4,0,14.22,25,-0.068,0.004048582995951417,0.0
ad_209,Online MBA Course,instagram,Professionals 30-45,2025-09-16,439,7,0,5.78,59,-0.284,0.015945330296127564,0.0
ad_210,Smartwatch Pro,youtube,Men 25-40,2025-10-25,325,6,0,4.2,27,0.054,0.018461538461538463,0.0
ad_211,Organic Face Cream,google_search,Women 25-40,2025-08-30,76,1,0,0.79,12,0.112,0.013157894736842105,0.0
ad_212,NoiseCancel Headphones,google_search,Women 25-40,2025-09-21,1190,45,3,13.76,28,0.121,0.037815126050420166,0.06666666666666667
ad_213,NoiseCancel Headphones,google_search,Professionals 30-45,2025-11-12,2010,52,1,23.98,10,-0.244,0.025870646766169153,0.019230769230769232
ad_214,Organic Face Cream,facebook,Professionals 30-45,2025-08-23,3160,50,5,32.93,45,0.529,0.015822784810126583,0.1
ad_215,Organic Face Cream,youtube,Students 18-25,2025-10-30,1699,14,0,24.73,18,0.096,0.00824014125956445,0.0
ad_216,Organic Face Cream,facebook,Men 25-40,2025-09-06,80,1,0,1.12,43,-0.239,0.0125,0.0
ad_217,Smartwatch Pro,youtube,Students 18-25,2025-09-12,785,7,1,9.16,55,0.172,0.008917197452229299,0.14285714285714285
ad_218,NoiseCancel Headphones,youtube,Women 25-40,2025-09-21,1964,19,3,22.51,47,0.4,0.009674134419551934,0.15789473684210525
ad_219,Smartwatch Pro,instagram,Women 25-40,2025-08-29,358,7,0,3.87,33,-0.107,0.019553072625698324,0.0
